Structure	Sample ID	EPK_PI3Kd / IC50 [µM]_Q	EPK_PI3Kd / IC50 [µM]	EPK_PI3Ka / IC50 [µM]_Q	EPK_PI3Ka / IC50 [µM]	EPK_PI3Kb / IC50 [µM]_Q	EPK_PI3Kb / IC50 [µM]	EPK_PI3Kg / IC50 [µM]_Q	EPK_PI3Kg / IC50 [µM]	Cells PI3Kd / IC50 [nM]_Q	Cells PI3Kd / IC50 [nM]	Cells PI3Ka / IC50 [nM]_Q	Cells PI3Ka / IC50 [nM]	Cells PI3Kb / IC50 [nM]_Q	Cells PI3Kb / IC50 [nM]	mCD86test / IC50 CD86 [nmol l-1]_Q	mCD86test / IC50 CD86 [nmol l-1]	BM Prolif. / IC50 [nmol l-1]_Q	BM Prolif. / IC50 [nmol l-1]	HT-logPo/w / logP o/w_Q	HT-logPo/w / logP o/w	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]_Q	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]	HT-perm / logPe pH6.8_Q	HT-perm / logPe pH6.8	HT-Eq Sol / pH 6.8 (g/l)_Q	HT-Eq Sol / pH 6.8 (g/l)	HT-pKa / pKa1_Q	HT-pKa / pKa1	HT-pKa / pKa2_Q	HT-pKa / pKa2	HT-pKa / pKa3_Q	HT-pKa / pKa3
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(N=C5)OC)Cl	NVP-BZV436-NX-1		0.005		0.1		0.897		0.594		70		795	>	10000		27.5		1304.5		3.2		90.6		-3.8	>	0.474						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=C(N=C5)OC(F)F	NVP-BZV434-NX-1		0.034		1.328	>	9.1		6.024		995	>	10000	>	10000						2.9		94.3		-3.8	>	0.475						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C6=CC5=CC=CC=C5N=C6	NVP-BZV437-NX-1		0.012		0.81	>	9.1		5.78		137		4667	>	10000		190.0		3149.0		3.1				-3.9	>	0.46		3.9		6.5		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(N=C5)OC)F	NVP-BZV438-NX-1		0.006		0.152		2.558		0.56		58		1927	>	10000		40.5		3191.0		3.1		87.1		-3.8		0.129						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4C[C@H]5N(C[C@@H]4C5)C)=O)C6=CN=C(C(=C6)C(F)(F)F)N	NVP-BZW191-NX-1	<	0.006		0.016		0.192		0.592												2.6		81.7		-6.2	>	0.505		3.3		7.4		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CN=C(C(=C5)C(F)(F)F)N	NVP-BZW192-NX-1	<	0.003		0.01		0.296		0.542												3.0		84.4		-4.5		0.477		3.3				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)OC	NVP-BYS759-NX-2		0.009		0.308		5.784		2.077																								
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCNC(C4)(C)C)=O)C5=CN=C(C=C5)OC	NVP-BZW571-NX-1		0.01		0.36		8.88		3.462		922	>	10000	>	10000						2.4		80.9		-5.4	>	0.455		3.2				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)OC	NVP-BYY113-NX-2		0.016		0.326		6.83		1.177														91.2										
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=CN=C5)C(F)(F)F	NVP-BZA610-NX-2		0.012		0.109		1.599		0.341		243		3548	>	10000																		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)NC	NVP-BZX750-NX-1		0.02		0.708	>	9.1		1.788		765		4531	>	10000						3.2						0.147		5.5				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)C)NC	NVP-BZX752-NX-1		0.003		0.269		3.723		0.868		96		1642		4102						2.8				-4.6	>	0.453		5.8				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)NC(C)=O	NVP-BZX754-NX-1		0.044		1.156	>	9.1		2.12	>	10000		7471	>	10000							<	5.8			>	0.467		3.5				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CC(N(CC4)C)(C)C)=O)C5=CN=C(C=C5)OC	NVP-BZX799-NX-1		0.0045		0.162		6.263		2.149		52		4788	>	10000		38.0	>	10000.0		2.8	>	94.3		-4.1	>	0.469		3.2				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCCN(CC4)C)=O)C5=CN=C(C=C5)OC	NVP-BZX798-NX-1		0.024		0.578		6.145		5.861		705	>	10000	>	10000						2.2		81.9		-5.3	>	0.455		3.2				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4[C@@H]5CN([C@H](C4)C5)C)=O)C6=CN=C(C=C6)OC	NVP-BZX800-NX-1		0.014		0.573		4.29		3.717		423	>	10000	>	10000						2.4		80.1		-5.7	>	0.453		3.3				
C1(=CN=C(C=C1)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=C(C=C3)C)C(N4CCN(CC4)C(C)C)=O)=C5	NVP-BZX811-NX-1		0.014		0.306		4.722		1.674		651	>	10000	>	10000						3.8		94.3		-3.8	>	0.482		3.2				
C1(=CN=C(C=C1)OC)C5=CC=C2C(C(=NC=N2)C3=CC(=C(C=C3)C)C(N4CCN(CC4)C)=O)=C5	NVP-BZX812-NX-1		0.042		0.888	>	9.1		3.147		952		3023	>	10000						3.2		94.0		-3.8	>	0.454		3.3		6.3		
C1(=CN=C(C=C1)OC)C6=CC=C2C(C(=NC=N2)C3=CC(=C(C=C3)C)C(N4C5CN(C(C4)C5)C)=O)=C6	NVP-CAA592-NX-1		0.009		0.238		0.99		1.233		333		3232		7470		101.0		5788.0		2.6		76.4		-4.5	>	0.466		2.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(=O)N4CCN(CC4)C)C5=CN=C(N=C5)N(C)C	NVP-CAA738-NX-1		0.028		1.074	>	9.1		4.294		938	>	10000	>	10000						2.8		92.6		-4.1	>	0.454		3.3		6.6		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)NC(C)=O	NVP-BZX754-NX-2		0.056		0.621	>	9.1		1.319																								
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)OC)N	NVP-CAE064-NX-1		0.0035		0.03		0.966		0.405												2.4		87.7		-5.3	>	0.455		4.8		6.6		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)C#N)N	NVP-CAE066-NX-1		0.0065		0.1		2.126		0.788		294		3160	>	10000		59.5				1.9		67.3		-6.1		0.135		2.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)C)N	NVP-CAE068-NX-1	<	0.003		0.032		1.608		0.594												1.9		79.8		-6.0	>	0.439		5.4		8.7		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)Cl)N	NVP-CAE071-NX-1		0.004		0.046		0.918		0.328												2.2		85.0		-4.7	>	0.459		3.5				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C=C5)S(=O)(=O)C	NVP-CAE072-NX-1		0.435	>	9.1	>	9.1	>	9.1												1.9		51.0		-6.6	>	0.488						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=C(C(=C5)C(F)(F)F)S(=O)(=O)N	NVP-CAE275-NX-1		0.024		5.295	>	9.1		6.45	>	10000	>	10000	>	10000								74.1		-7.1		0.28		9.1				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C6C(=C5)CC(N6)=O	NVP-CAE277-NX-1		0.007		0.133		3.308		1.986	>	10000	>	10000	>	10000																		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)[N+1]([O-1])=O)OC	NVP-CAE279-NX-1		0.003		0.172		1.226		1.18		190		4160	>	10000		65.5				2.9		86.8		-3.9	>	0.485						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)C(=O)OC)OC	NVP-CAE281-NX-1		0.004		0.09		1.9		2.33		138		2304	>	10000		75.0		4786.0		2.4		83.6		-4.1	>	0.498		3.4				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC=C(C(=C5)C(F)(F)F)OC	NVP-CAE283-NX-1		0.0035		0.198		4.782		0.817		102		3589		9856		40.5		1465.0														
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CN=C(C(=C5)C(F)(F)F)OC	NVP-CAJ432-NX-1		0.005		0.208		1.741		2.71		22		1400		5172		9.9		1980.0		3.7		92.6		-3.3		0.402						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4C[C@H]5N(C[C@@H]4C5)C)=O)C6=CN=C(C(=C6)C(F)(F)F)OC	NVP-CAJ518-NX-1		0.003		0.075		0.27		0.804		28		834		2062						3.6		81.7		-3.7	>	0.52						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC(=C(N=C5)OC)C	NVP-CAJ520-NX-1		0.003		0.07		0.867		0.756												3.2		91.2		-3.7	>	0.483		3.1		6.7		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC(=C(N=C5)OC)F	NVP-CAJ521-NX-1	<	0.003		0.06		1.85		0.728												2.8		91.6		-3.9	>	0.487						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC6C(N=C5)=CC=CC=6	NVP-CAJ522-NX-1		0.004		0.326	>	9.1		5.405		116		1561	>	10000		64.0		2062.0		2.9	>	94.3		-4.1	>	0.489		3.8		6.8		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=C(C=C5)OC	NVP-CAJ991-NX-1		0.039		2.479	>	9.1		2.394												3.2		85.6		-3.9		0.115		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC=C(C=C5)S(=O)(=O)C	NVP-CAJ992-NX-1		0.963	>	9.1	>	9.1	>	9.1												2.2		57.0		-5.6	>	0.487						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(N=C5)OC)C#N	NVP-CAK105-NX-1	<	0.003		0.282		2.63		1.103		144		2989	>	10000						1.9		80.6		-4.2		0.197		3.1				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=NC(=C(N=C5)N)OC	NVP-CAK107-NX-1		0.005		0.014		0.54		0.207														83.3		-5.0		0.098		3.5		6.3		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=C(N=C5)N)OC(F)F	NVP-CAK108-NX-1		0.0035		0.04		0.951		0.378												2.2		84.7		-5.1	>	0.491		4.0		6.3		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=NC(=C(N=C5)OC)OC	NVP-CAK109-NX-1		0.016		0.093		1.766		0.738																-3.8		0.226		3.3		6.2		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)OC)OC	NVP-CAZ197-NX-1		0.003		0.021		0.182		0.285												2.8		81.1		-4.0	>	0.47						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4C[C@@H](NC[C@H]4C)C)=O)C5=CN=C(C=C5)OC	NVP-CAZ211-NX-1		0.004		0.14		2.248		0.972		87		1542		8545																		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)CC)=O)C5=CN=C(C=C5)OC	NVP-CAZ212-NX-1		0.016		0.38	>	9.1		2.867		166		2374	>	10000						3.1		90.9		-3.9	>	0.454		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN[C@@H](C4)C)=O)C5=CN=C(C=C5)OC	NVP-CAZ213-NX-1		0.024		0.372		5.979		1.775		292		2701	>	10000						2.6		57.5		-4.8	>	0.44		2.9				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN[C@H](C4)C)=O)C5=CN=C(C=C5)OC	NVP-CAZ214-NX-1		0.021		0.231		2.915		1.604		604		2764	>	10000						2.6		57.4		-4.9	>	0.44		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4C[C@H](N[C@H](C4)C)C)=O)C5=CN=C(C=C5)OC	NVP-CAZ216-NX-1		0.032		0.61	>	9.1		5.089		839		3893	>	10000						3.1		62.3		-4.4	>	0.454		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCNC[C@H]4C)=O)C5=CN=C(C=C5)OC	NVP-CAZ217-NX-1		0.023		0.463		5.096		2.74		382		2631	>	10000						2.4		62.8		-4.8	>	0.44		3.0				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC(=C(N=C5)OC)C(F)(F)F	NVP-CBB358-NX-1		0.011		0.042		0.746		1.494												3.9		80.3		-4.1		0.326						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC(=CN=C5)C(F)(F)F	NVP-CBB359-NX-1		0.008		0.053		2.858		0.652												3.4		92.6		-3.5	>	0.506						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC(=C(N=C5)OC)C	NVP-CBB360-NX-1		0.008		0.044		1.004		0.512												4.1		94.3		-3.5	>	0.482		3.2				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CN=C(N=C5)OC	NVP-CBB361-NX-1		0.028		0.973	>	9.1		3.454		146		7530	>	10000						2.2		89.3		-4.8	>	0.469						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC6=C(N=C5)NC=C6	NVP-CBB363-NX-1		0.014		0.038		3.458		1.75												3.5	>	94.3		-5.1	>	0.477		3.7				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C6=CC5=CC=CC=C5N=C6	NVP-CBB362-NX-1		0.007		0.242	>	9.1		2.28		128		6874	>	10000						3.8		93.6		-3.9	>	0.488		4.0		6.9		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC(=C(N=C5)OC)F	NVP-CBB365-NX-1		0.01		0.054		3.916		0.647												3.5		91.9		-3.5		0.285						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC=C(N=C5)N(C)C	NVP-CBB364-NX-1		0.019		0.218	>	9.1		1.531		138		1747	>	10000						3.4		92.9		-3.9	>	0.481						
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(C(C4)(C)C)C)=O)C5=CC=C(N=C5)OCC	NVP-CBB366-NX-1		0.018		0.403	>	9.1		2.89		224		3360		1194						3.8		93.6		-3.7	>	0.482		3.3				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(=O)N4CCN(CC4)C)C5=CN=C(C(=C5)C(=O)OC)N	NVP-CBB369-NX-1		0.0055		0.022		1.097		0.312												2.4		89.9		-4.6	>	0.483		4.0		6.8		
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CN=C3)C(N4CCN(CC4)C)=O)C5=CN=C(C(=C5)OC)N	NVP-CBB456-NX-1		0.075		0.567	>	9.1		5.544												2.4		71.4		-7.0	>	0.456		5.1				
C1(=CC=C2C(=C1)C(=NC=N2)C3=CC(=CC=C3)C(N4CCN(CC4)C)=O)C5=CC(=CN=C5)C6N=NNN=6	NVP-CBB469-NX-1		0.012		0.009		0.28		0.198																-8.6	>	0.478		3.1		6.5		
