Structure	Sample ID	EPK_PI3Kd / IC50 [µM]_Q	EPK_PI3Kd / IC50 [µM]	EPK_PI3Ka / IC50 [µM]_Q	EPK_PI3Ka / IC50 [µM]	EPK_PI3Kb / IC50 [µM]_Q	EPK_PI3Kb / IC50 [µM]	EPK_PI3Kg / IC50 [µM]_Q	EPK_PI3Kg / IC50 [µM]	Cells PI3Kd / IC50 [nM]_Q	Cells PI3Kd / IC50 [nM]	Cells PI3Ka / IC50 [nM]_Q	Cells PI3Ka / IC50 [nM]	Cells PI3Kb / IC50 [nM]_Q	Cells PI3Kb / IC50 [nM]	mCD86test / IC50 CD86 [nmol l-1]_Q	mCD86test / IC50 CD86 [nmol l-1]	BM Prolif. / IC50 [nmol l-1]_Q	BM Prolif. / IC50 [nmol l-1]	HT-logPo/w / logP o/w_Q	HT-logPo/w / logP o/w	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]_Q	CYP MetCL-Ra / CL(h) [ml min-1 kg-1]	HT-perm / logPe pH6.8_Q	HT-perm / logPe pH6.8	HT-Eq Sol / pH 6.8 (g/l)_Q	HT-Eq Sol / pH 6.8 (g/l)	HT-pKa / pKa1_Q	HT-pKa / pKa1	HT-pKa / pKa2_Q	HT-pKa / pKa2	HT-pKa / pKa3_Q	HT-pKa / pKa3
C34=C(C2C=C(C(=O)NCCN1CCOCC1)C=CC=2)N=CN=C3C=CC(=C4)C5C=C(OC)C(=CC=5)OC	NVP-BRJ658-AI-2		0.005		0.037		1.002		0.381														92.2		-4.1	>	0.613						
C4(=CC=C3C(C(C2C=CC=C(C(N1CCNC(C1)(C)C)=O)C=2)=NC=N3)=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYM004-AI-1		0.01		0.074		0.991		0.312														88.0		-4.8	>	0.597						
C1(=CC=C4C(=C1)C(C3C=CC=C(C(N2CC(CNCC2)(F)F)=O)C=3)=NC=N4)C5=CC(=C(C=C5)OC)OC	NVP-BYM008-AI-1		0.0055		0.024		0.375		0.349														93.3		-3.8		0.549						
C1(=CC=C4C(=C1)C(C3=CC(C(N2CC(CNCC2)O)=O)=CC=C3)=NC=N4)C5=CC(=C(C=C5)OC)OC	NVP-BYM010-AI-1		0.016		0.054		0.277		0.424														69.0		-5.7	>	0.599						
C1(=CC=C4C(=C1)C(C3C=CC=C(C(N2CC(CC2)NC)=O)C=3)=NC=N4)C5=CC(=C(C=C5)OC)OC	NVP-BYM042-AI-1		0.008		0.06		0.178		2.435														65.1		-5.7	>	0.583						
C3(=CC=C1C(C(=NC=N1)C2C=CC=C(C(N(C)CCNC)=O)C=2)=C3)C4=CC(=C(C=C4)OC)OC	NVP-BYM044-AI-1		0.018		0.144		0.596		0.85														67.9		-6.5	>	0.571						
C3(C2=CC=C1C(OCCO1)=C2)=CC=C6C(=C3)C(C4=CC(=CC=C4)C(N5CCN(CC5)C(=O)C)=O)=NC=N6	NVP-BYM068-AI-1		0.022		0.711	>	9.1		3.224		1922		3658	>	10000		360.0				2.8		70.6		-4.4		0.0070						
C2(C=C1C(=NC=NC1=CC=2)C3=CC(=CC=C3)C(N4CC(CCC4)N)=O)C5=CC(OC)=C(OC)C=C5	NVP-BYM356-AI-1		0.008		0.047		0.366		0.64												2.9		48.8		-6.1	>	0.583		3.2				
C2(C=C1C(=NC=NC1=CC=2)C3=CC(=CC=C3)C(NCC4(CCCC4)N)=O)C5=CC(OC)=C(OC)C=C5	NVP-BYM357-AI-1		0.011		0.034		0.347		0.385												3.7		41.7		-6.7		0.213		9.0				
C2(C=C1C(=NC=NC1=CC=2)C3=CC(=CC=C3)C(N4CC5NCC4C5)=O)C6=CC(OC)=C(OC)C=C6	NVP-BYM358-AI-1		0.008		0.092		0.198		0.366		804		3717		3624						2.8		51.9		-6.5	>	0.581						
C2(C=C1C(=NC=NC1=CC=2)C3=CC(=CC=C3)C(NCC(CN)(C)C)=O)C4=CC(OC)=C(OC)C=C4	NVP-BYM360-AI-1		0.017		0.035		0.622		3.493												3.6		45.0		-5.7	>	0.585						
C3(C1=CC(OC)=C(OC)C=C1)C=C2C(=NC=NC2=CC=3)C4=CC(=CC=C4)C(N(CC)CCN)=O	NVP-BYM361-AI-1		0.038		0.334		0.853		1.252		1620		5084		2761						2.9		35.9		-6.2	>	0.571						
C2(C=C1C(=NC=NC1=CC=2)C4=CC(C(N3CCNCC3C)=O)=CC=C4)C5=CC(=C(C=C5)OC)OC	NVP-BYM364-AI-1		0.0055		0.09		0.506		0.427		306		1000		2266		32.0		1910.0		2.8		88.3		-4.9	>	0.583		3.2				
